Attribute,Type,Operators,Description
refine.ls_R_factor_obs,number,equals greater less greater_or_equal less_or_equal range exists,"Residual factor R for reflections that satisfy the resolution  limits established by _refine.ls_d_res_high and  _refine.ls_d_res_low and the observation limit established by  _reflns.observed_criterion.  _refine.ls_R_factor_obs should not be confused with  _refine.ls_R_factor_R_work; the former reports the results of a  refinement in which all observed reflections were used, the  latter a refinement in which a subset of the observed  reflections were excluded from refinement for the calculation  of a 'free' R factor. However, it would be meaningful to quote  both values if a 'free' R factor were calculated for most of  the refinement, but all of the observed reflections were used  in the final rounds of refinement; such a protocol should be  explained in _refine.details.  sum|F~obs~ - F~calc~|  R = ---------------------  sum|F~obs~|  F~obs~ = the observed structure-factor amplitudes  F~calc~ = the calculated structure-factor amplitudes  sum is taken over the specified reflections"
refine.pdbx_method_to_determine_struct,string,contains_phrase contains_words exists,Method(s) used to determine the structure.
reflns.B_iso_Wilson_estimate,number,equals greater less greater_or_equal less_or_equal range exists,The value of the overall isotropic displacement parameter  estimated from the slope of the Wilson plot.
reflns.R_free_details,string,contains_phrase contains_words exists,A description of the method by which a subset of reflections was  selected for exclusion from refinement so as to be used in the  calculation of a 'free' R factor.
reflns.d_resolution_high,number,equals greater less greater_or_equal less_or_equal range exists,The smallest value in angstroms for the interplanar spacings  for the reflection data. This is called the highest resolution.
reflns.data_reduction_details,string,contains_phrase contains_words exists,A description of special aspects of the data-reduction  procedures.
reflns.data_reduction_method,string,contains_phrase contains_words exists,"The method used for data reduction.  Note that this is not the computer program used, which is  described in the SOFTWARE category, but the method  itself.  This data item should be used to describe significant  methodological options used within the data-reduction programs."
reflns.pdbx_Rmerge_I_obs,number,equals greater less greater_or_equal less_or_equal range exists,The R value for merging intensities satisfying the observed  criteria in this data set.
reflns.pdbx_redundancy,number,equals greater less greater_or_equal less_or_equal range exists,Overall redundancy for this data set.
reflns.percent_possible_obs,number,equals greater less greater_or_equal less_or_equal range exists,The percentage of geometrically possible reflections represented  by reflections that satisfy the resolution limits established  by _reflns.d_resolution_high and _reflns.d_resolution_low and  the observation limit established by  _reflns.observed_criterion.
software.classification,string,contains_phrase contains_words exists,The classification of the program according to its  major function.
software.language,string,in exact_match exists,"The major computing language in which the software is  coded. Allowed Values: Ada, Awk, Basic, C, C++, C/C++, Fortran, Fortran 77, Fortran 90, Fortran_77, Java, Java & Fortran, Other, Pascal, Perl, Python, Python/C++, Tcl, assembler, csh, ksh, sh"
software.name,string,contains_phrase contains_words exists,The name of the software.
software.type,string,in exact_match exists,"The classification of the software according to the most  common types. Allowed Values: filter, jiffy, library, other, package, program"
struct.pdbx_CASP_flag,string,in exact_match exists,"The item indicates whether the entry is a CASP target, a CASD-NMR target,  or similar target participating in methods development experiments. Allowed Values: N, Y"
struct.pdbx_model_details,string,contains_phrase contains_words exists,Text description of the methodology which produced this  model structure.
struct.pdbx_model_type_details,string,contains_phrase contains_words exists,A description of the type of structure model.
struct.title,string,contains_phrase contains_words exists,"A title for the data block. The author should attempt to convey  the essence of the structure archived in the CIF in the title,  and to distinguish this structural result from others."
struct_keywords.pdbx_keywords,string,contains_phrase contains_words exists,Terms characterizing the macromolecular structure.
struct_keywords.text,string,contains_phrase contains_words exists,Keywords describing this structure.
symmetry.cell_setting,string,in exact_match exists,"The cell settings for this space-group symmetry. Allowed Values: cubic, hexagonal, monoclinic, orthorhombic, rhombohedral, tetragonal, triclinic, trigonal"
symmetry.pdbx_full_space_group_name_H_M,string,in exact_match exists,Used for PDB space group:  Example: 'C 1 2 1' (instead of C 2)  'P 1 2 1' (instead of P 2)  'P 1 21 1' (instead of P 21)  'P 1 1 21' (instead of P 21 -unique C axis)  'H 3' (instead of R 3 -hexagonal)  'H 3 2' (instead of R 3 2 -hexagonal)
symmetry.space_group_name_H_M,string,in exact_match exists,"Hermann-Mauguin space-group symbol. Note that the  Hermann-Mauguin symbol does not necessarily contain complete  information about the symmetry and the space-group origin. If  used, always supply the FULL symbol from International Tables  for Crystallography Vol. A (2002) and indicate the origin and  the setting if it is not implicit. If there is any doubt that  the equivalent positions can be uniquely deduced from this  symbol, specify the _symmetry_equiv.pos_as_xyz or  _symmetry.space_group_name_Hall data items as well. Leave  spaces between symbols referring to  different axes."
symmetry.space_group_name_Hall,string,in exact_match exists,"Space-group symbol as described by Hall (1981). This symbol  gives the space-group setting explicitly. Leave spaces between  the separate components of the symbol.  Ref: Hall, S. R. (1981). Acta Cryst. A37, 517-525; erratum  (1981) A37, 921."
rcsb_entry_group_membership.group_id,string,in exact_match exists,A unique identifier for a group of entries
rcsb_entry_group_membership.aggregation_method,string,in exact_match exists,Method used to establish group membership Allowed Values: matching_deposit_group_id
rcsb_external_references.type,string,in exact_match exists,"Internal identifier for external resource. Allowed Values: OLDERADO, BMRB, NDB, NAKB, SB GRID, PROTEIN DIFFRACTION, EM DATA RESOURCE"
rcsb_binding_affinity.comp_id,string,in exact_match exists,Ligand identifier.
rcsb_binding_affinity.type,string,in exact_match exists,"Binding affinity measurement given in one of the following types: The concentration constants: IC50: the concentration of ligand that reduces enzyme activity by 50%; EC50: the concentration of compound that generates a half-maximal response; The binding constant: Kd: dissociation constant; Ka: association constant; Ki: enzyme inhibition constant; The thermodynamic parameters: delta G: Gibbs free energy of binding (for association reaction); delta H: change in enthalpy associated with a chemical reaction; delta S: change in entropy associated with a chemical reaction. Allowed Values: IC50, EC50, Kd, Ka, Ki, &Delta;G, &Delta;H, -T&Delta;S"
rcsb_binding_affinity.value,number,equals greater less greater_or_equal less_or_equal range exists,Binding affinity value between a ligand and its target molecule.
rcsb_polymer_entity_instance_container_identifiers.asym_id,string,in exact_match exists,Instance identifier for this container.
rcsb_polymer_entity_instance_container_identifiers.auth_asym_id,string,in exact_match exists,Author instance identifier for this container.
rcsb_polymer_entity_instance_container_identifiers.entity_id,string,in exact_match exists,Entity identifier for the container.
rcsb_polymer_entity_instance_container_identifiers.entry_id,string,in exact_match exists,Entry identifier for the container.
rcsb_polymer_entity_instance_container_identifiers.rcsb_id,string,in exact_match exists,A unique identifier for each object in this entity instance container formed by  an 'dot' (.) separated concatenation of entry and entity instance identifiers.
rcsb_polymer_instance_annotation.annotation_id,string,in exact_match exists,An identifier for the annotation.
rcsb_polymer_instance_annotation.description,string,in exact_match contains_phrase contains_words exists,A description for the annotation.
rcsb_polymer_instance_annotation.name,string,in exact_match contains_phrase contains_words exists,A name for the annotation.
rcsb_polymer_instance_annotation.type,string,in exact_match exists,"A type or category of the annotation. Allowed Values: CATH, ECOD, GlyGen, SCOP, SCOP2"
rcsb_polymer_instance_annotation.annotation_lineage.depth,integer,equals greater less greater_or_equal less_or_equal range exists,Members of the annotation lineage as parent lineage depth (1-N)
rcsb_polymer_instance_annotation.annotation_lineage.id,string,in exact_match exists,Members of the annotation lineage as parent class identifiers.
rcsb_polymer_instance_annotation.annotation_lineage.name,string,in exact_match contains_phrase contains_words exists,Members of the annotation lineage as parent class names.
rcsb_polymer_instance_feature_summary.count,integer,equals greater less greater_or_equal less_or_equal range exists,The feature count per polymer chain.
rcsb_polymer_instance_feature_summary.coverage,number,equals greater less greater_or_equal less_or_equal range exists,"The fractional feature coverage relative to the full entity sequence.  For instance, the fraction of features such as CATH or SCOP domains, secondary structure elements,  unobserved residues, or geometrical outliers relative to the length of the entity sequence."
rcsb_polymer_instance_feature_summary.maximum_length,integer,equals greater less greater_or_equal less_or_equal range exists,The maximum feature length.
rcsb_polymer_instance_feature_summary.minimum_length,integer,equals greater less greater_or_equal less_or_equal range exists,The minimum feature length.
rcsb_polymer_instance_feature_summary.type,string,in exact_match exists,"Type or category of the feature. Allowed Values: ANGLE_OUTLIER, BEND, BINDING_SITE, BOND_OUTLIER, C-MANNOSYLATION_SITE, CATH, CIS-PEPTIDE, ECOD, HELIX_P, HELX_LH_PP_P, HELX_RH_3T_P, HELX_RH_AL_P, HELX_RH_PI_P, MA_QA_METRIC_LOCAL_TYPE_CONTACT_PROBABILITY, MA_QA_METRIC_LOCAL_TYPE_DISTANCE, MA_QA_METRIC_LOCAL_TYPE_ENERGY, MA_QA_METRIC_LOCAL_TYPE_IPTM, MA_QA_METRIC_LOCAL_TYPE_NORMALIZED_SCORE, MA_QA_METRIC_LOCAL_TYPE_OTHER, MA_QA_METRIC_LOCAL_TYPE_PAE, MA_QA_METRIC_LOCAL_TYPE_PLDDT, MA_QA_METRIC_LOCAL_TYPE_PLDDT_ALL-ATOM, MA_QA_METRIC_LOCAL_TYPE_PLDDT_ALL-ATOM_[0,1], MA_QA_METRIC_LOCAL_TYPE_PLDDT_[0,1], MA_QA_METRIC_LOCAL_TYPE_PTM, MA_QA_METRIC_LOCAL_TYPE_ZSCORE, MEMBRANE_SEGMENT, MOGUL_ANGLE_OUTLIER, MOGUL_BOND_OUTLIER, N-GLYCOSYLATION_SITE, O-GLYCOSYLATION_SITE, RAMACHANDRAN_OUTLIER, ROTAMER_OUTLIER, RSCC_OUTLIER, RSRZ_OUTLIER, S-GLYCOSYLATION_SITE, SABDAB_ANTIBODY_HEAVY_CHAIN_SUBCLASS, SABDAB_ANTIBODY_LIGHT_CHAIN_SUBCLASS, SABDAB_ANTIBODY_LIGHT_CHAIN_TYPE, SCOP, SCOP2B_SUPERFAMILY, SCOP2_FAMILY, SCOP2_SUPERFAMILY, SHEET, STEREO_OUTLIER, STRN, TURN_TY1_P, UNASSIGNED_SEC_STRUCT, UNOBSERVED_ATOM_XYZ, UNOBSERVED_RESIDUE_XYZ, ZERO_OCCUPANCY_ATOM_XYZ, ZERO_OCCUPANCY_RESIDUE_XYZ"
rcsb_polymer_struct_conn.connect_type,string,in exact_match exists,"The connection type. Allowed Values: covalent bond, covalent modification of a nucleotide base, covalent modification of a nucleotide phosphate, covalent modification of a nucleotide sugar, covalent residue modification, disulfide bridge, hydrogen bond, ionic interaction, metal coordination, mismatched base pairs"
rcsb_polymer_struct_conn.role,string,in exact_match exists,"The chemical or structural role of the interaction Allowed Values: C-Mannosylation, N-Glycosylation, O-Glycosylation, S-Glycosylation"
rcsb_polymer_struct_conn.value_order,string,in exact_match exists,"The chemical bond order associated with the specified atoms in  this contact. Allowed Values: doub, quad, sing, trip"
pdbx_entity_nonpoly.name,string,contains_phrase contains_words exists,A name for the non-polymer entity
rcsb_nonpolymer_entity.details,string,contains_phrase contains_words exists,A description of special aspects of the entity.
rcsb_nonpolymer_entity.formula_weight,number,equals greater less greater_or_equal less_or_equal range exists,Formula mass (KDa) of the entity.
rcsb_nonpolymer_entity.pdbx_description,string,contains_phrase contains_words exists,A description of the nonpolymer entity.
rcsb_nonpolymer_entity.pdbx_number_of_molecules,integer,equals greater less greater_or_equal less_or_equal range exists,The number of molecules of the nonpolymer entity in the entry.
rcsb_nonpolymer_entity_annotation.annotation_id,string,in exact_match exists,An identifier for the annotation.
rcsb_nonpolymer_entity_annotation.comp_id,string,in exact_match exists,Non-polymer(ligand) chemical component identifier for the entity.
rcsb_nonpolymer_entity_annotation.description,string,in exact_match contains_phrase contains_words exists,A description for the annotation.
rcsb_nonpolymer_entity_annotation.name,string,in exact_match contains_phrase contains_words exists,A name for the annotation.
rcsb_nonpolymer_entity_annotation.type,string,in exact_match exists,A type or category of the annotation. Allowed Values: SUBJECT_OF_INVESTIGATION
rcsb_nonpolymer_entity_annotation.annotation_lineage.depth,integer,equals greater less greater_or_equal less_or_equal range exists,Members of the annotation lineage as parent lineage depth (1-N)
rcsb_nonpolymer_entity_annotation.annotation_lineage.id,string,in exact_match exists,Members of the annotation lineage as parent class identifiers.
rcsb_nonpolymer_entity_annotation.annotation_lineage.name,string,in exact_match contains_phrase contains_words exists,Members of the annotation lineage as parent class names.
rcsb_nonpolymer_entity_container_identifiers.chem_ref_def_id,string,in exact_match exists,The chemical reference definition identifier for the entity in this container.
rcsb_nonpolymer_entity_container_identifiers.nonpolymer_comp_id,string,in exact_match exists,Non-polymer(ligand) chemical component identifier for the entity in this container.
rcsb_nonpolymer_entity_container_identifiers.prd_id,string,in exact_match exists,The BIRD identifier for the entity in this container.
rcsb_nonpolymer_entity_container_identifiers.rcsb_id,string,in exact_match exists,A unique identifier for each object in this entity container formed by  an underscore separated concatenation of entry and entity identifiers.
rcsb_nonpolymer_entity_feature.type,string,in exact_match exists,A type or category of the feature. Allowed Values: SUBJECT_OF_INVESTIGATION
rcsb_nonpolymer_entity_feature_summary.count,integer,equals greater less greater_or_equal less_or_equal range exists,The feature count.
rcsb_nonpolymer_entity_feature_summary.type,string,in exact_match exists,Type or category of the feature. Allowed Values: SUBJECT_OF_INVESTIGATION
rcsb_nonpolymer_entity_keywords.text,string,contains_phrase contains_words exists,Keywords describing this non-polymer entity.
rcsb_nonpolymer_entity_name_com.name,string,contains_phrase contains_words exists,A common name for the nonpolymer entity.
rcsb_pubmed_container_identifiers.pubmed_id,integer,equals greater less greater_or_equal less_or_equal range exists,UID assigned to each PubMed record.
rcsb_pubmed_abstract_text,string,contains_phrase contains_words exists,"A concise, accurate and factual mini-version of the paper contents."
rcsb_pubmed_mesh_descriptors_lineage.id,string,in exact_match exists,Identifier for MeSH classification term.
rcsb_pubmed_mesh_descriptors_lineage.name,string,in exact_match contains_phrase contains_words exists,MeSH classification term.
rcsb_pubmed_mesh_descriptors_lineage.depth,integer,equals greater less greater_or_equal less_or_equal range exists,Hierarchy depth.
rcsb_cluster_membership.cluster_id,integer,equals greater less greater_or_equal less_or_equal range exists,Identifier for a cluster at the specified level of sequence identity within the cluster data set.
rcsb_cluster_membership.identity,integer,equals greater less greater_or_equal less_or_equal range exists,Sequence identity expressed as an integer percent value.
entity_poly.rcsb_entity_polymer_type,string,in exact_match exists,"A coarse-grained polymer entity type. Allowed Values: DNA, NA-hybrid, Other, Protein, RNA"
entity_poly.rcsb_mutation_count,integer,equals greater less greater_or_equal less_or_equal range exists,Number of engineered mutations engineered in the sample sequence.
entity_poly.rcsb_sample_sequence_length,integer,equals greater less greater_or_equal less_or_equal range exists,The monomer length of the sample sequence.
entity_src_gen.gene_src_tissue,string,contains_phrase contains_words exists,The tissue of the natural organism from which the gene was  obtained.
entity_src_gen.pdbx_description,string,contains_phrase contains_words exists,Information on the source which is not given elsewhere.
entity_src_gen.pdbx_gene_src_atcc,string,contains_phrase contains_words exists,American Type Culture Collection tissue culture number.
entity_src_gen.pdbx_gene_src_cell,string,contains_phrase contains_words exists,Cell type.
entity_src_gen.pdbx_gene_src_cell_line,string,in exact_match contains_phrase contains_words exists,The specific line of cells.
entity_src_gen.pdbx_gene_src_cellular_location,string,contains_phrase contains_words exists,Identifies the location inside (or outside) the cell.
entity_src_gen.pdbx_gene_src_organ,string,contains_phrase contains_words exists,Organized group of tissues that carries on a specialized function.
entity_src_gen.pdbx_gene_src_organelle,string,contains_phrase contains_words exists,Organized structure within cell.
entity_src_gen.pdbx_host_org_atcc,string,contains_phrase contains_words exists,Americal Tissue Culture Collection of the expression system. Where  full details of the protein production are available it would  be expected that this item would be derived from  _entity_src_gen_express.host_org_culture_collection
entity_src_gen.pdbx_host_org_cell,string,contains_phrase contains_words exists,Cell type from which the gene is derived. Where  entity.target_id is provided this should be derived from  details of the target.
entity_src_gen.pdbx_host_org_cell_line,string,contains_phrase contains_words exists,A specific line of cells used as the expression system. Where  full details of the protein production are available it would  be expected that this item would be derived from  entity_src_gen_express.host_org_cell_line
entity_src_gen.pdbx_host_org_cellular_location,string,contains_phrase contains_words exists,Identifies the location inside (or outside) the cell which  expressed the molecule.
entity_src_gen.pdbx_host_org_culture_collection,string,contains_phrase contains_words exists,"Culture collection of the expression system. Where  full details of the protein production are available it would  be expected that this item would be derived somehwere, but  exactly where is not clear."
entity_src_gen.pdbx_host_org_organ,string,contains_phrase contains_words exists,Specific organ which expressed the molecule.
entity_src_gen.pdbx_host_org_organelle,string,contains_phrase contains_words exists,Specific organelle which expressed the molecule.
entity_src_gen.pdbx_host_org_tissue,string,contains_phrase contains_words exists,The specific tissue which expressed the molecule. Where full details  of the protein production are available it would be expected that this  item would be derived from _entity_src_gen_express.host_org_tissue
entity_src_gen.pdbx_host_org_tissue_fraction,string,contains_phrase contains_words exists,The fraction of the tissue which expressed the molecule.
entity_src_gen.pdbx_host_org_vector,string,contains_phrase contains_words exists,Identifies the vector used. Where full details of the protein  production are available it would be expected that this item  would be derived from _entity_src_gen_clone.vector_name.
entity_src_gen.pdbx_host_org_vector_type,string,contains_phrase contains_words exists,"Identifies the type of vector used (plasmid, virus, or cosmid).  Where full details of the protein production are available it  would be expected that this item would be derived from  _entity_src_gen_express.vector_type."
entity_src_gen.plasmid_name,string,contains_phrase contains_words exists,The name of the plasmid that produced the entity in the host  organism. Where full details of the protein production are available  it would be expected that this item would be derived from  _pdbx_construct.name of the construct pointed to from  _entity_src_gen_express.plasmid_id.
entity_src_nat.details,string,contains_phrase contains_words exists,A description of special aspects of the organism from which the  entity was isolated.
entity_src_nat.pdbx_atcc,string,contains_phrase contains_words exists,Americal Tissue Culture Collection number.
entity_src_nat.pdbx_cell,string,contains_phrase contains_words exists,A particular cell type.
entity_src_nat.pdbx_cell_line,string,contains_phrase contains_words exists,The specific line of cells.
entity_src_nat.pdbx_cellular_location,string,contains_phrase contains_words exists,Identifies the location inside (or outside) the cell.
entity_src_nat.pdbx_organ,string,contains_phrase contains_words exists,Organized group of tissues that carries on a specialized function.
entity_src_nat.pdbx_organelle,string,contains_phrase contains_words exists,Organized structure within cell.
entity_src_nat.pdbx_plasmid_details,string,contains_phrase contains_words exists,Details about the plasmid.
entity_src_nat.pdbx_plasmid_name,string,contains_phrase contains_words exists,The plasmid containing the gene.
entity_src_nat.tissue,string,contains_phrase contains_words exists,The tissue of the organism from which the entity was isolated.
entity_src_nat.tissue_fraction,string,contains_phrase contains_words exists,The subcellular fraction of the tissue of the organism from  which the entity was isolated.
rcsb_entity_host_organism.common_name,string,in exact_match contains_phrase contains_words exists,The common name of the host organism
rcsb_entity_host_organism.ncbi_common_names,string,in exact_match contains_phrase contains_words exists,"Common names associated with this taxonomy code obtained from NCBI Taxonomy Database.  These names correspond to the taxonomy identifier assigned by the PDB depositor. References: Sayers EW, Barrett T, Benson DA, Bryant SH, Canese K, Chetvernin V, Church DM, DiCuccio M, Edgar R, Federhen S, Feolo M, Geer LY, Helmberg W, Kapustin Y, Landsman D, Lipman DJ, Madden TL, Maglott DR, Miller V, Mizrachi I, Ostell J, Pruitt KD, Schuler GD, Sequeira E, Sherry ST, Shumway M, Sirotkin K, Souvorov A, Starchenko G, Tatusova TA, Wagner L, Yaschenko E, Ye J (2009). Database resources of the National Center for Biotechnology Information. Nucleic Acids Res. 2009 Jan;37(Database issue):D5-15. Epub 2008 Oct 21. Benson DA, Karsch-Mizrachi I, Lipman DJ, Ostell J, Sayers EW (2009). GenBank. Nucleic Acids Res. 2009 Jan;37(Database issue):D26-31. Epub 2008 Oct 21."
rcsb_entity_host_organism.ncbi_parent_scientific_name,string,in exact_match contains_phrase contains_words exists,"The parent scientific name in the NCBI taxonomy hierarchy (depth=1) associated with this taxonomy code. References: Sayers EW, Barrett T, Benson DA, Bryant SH, Canese K, Chetvernin V, Church DM, DiCuccio M, Edgar R, Federhen S, Feolo M, Geer LY, Helmberg W, Kapustin Y, Landsman D, Lipman DJ, Madden TL, Maglott DR, Miller V, Mizrachi I, Ostell J, Pruitt KD, Schuler GD, Sequeira E, Sherry ST, Shumway M, Sirotkin K, Souvorov A, Starchenko G, Tatusova TA, Wagner L, Yaschenko E, Ye J (2009). Database resources of the National Center for Biotechnology Information. Nucleic Acids Res. 2009 Jan;37(Database issue):D5-15. Epub 2008 Oct 21. Benson DA, Karsch-Mizrachi I, Lipman DJ, Ostell J, Sayers EW (2009). GenBank. Nucleic Acids Res. 2009 Jan;37(Database issue):D26-31. Epub 2008 Oct 21."
rcsb_entity_host_organism.ncbi_scientific_name,string,in exact_match contains_phrase contains_words exists,"The scientific name associated with this taxonomy code aggregated by the NCBI Taxonomy Database.  This name corresponds to the taxonomy identifier assigned by the PDB depositor. References: Sayers EW, Barrett T, Benson DA, Bryant SH, Canese K, Chetvernin V, Church DM, DiCuccio M, Edgar R, Federhen S, Feolo M, Geer LY, Helmberg W, Kapustin Y, Landsman D, Lipman DJ, Madden TL, Maglott DR, Miller V, Mizrachi I, Ostell J, Pruitt KD, Schuler GD, Sequeira E, Sherry ST, Shumway M, Sirotkin K, Souvorov A, Starchenko G, Tatusova TA, Wagner L, Yaschenko E, Ye J (2009). Database resources of the National Center for Biotechnology Information. Nucleic Acids Res. 2009 Jan;37(Database issue):D5-15. Epub 2008 Oct 21. Benson DA, Karsch-Mizrachi I, Lipman DJ, Ostell J, Sayers EW (2009). GenBank. Nucleic Acids Res. 2009 Jan;37(Database issue):D26-31. Epub 2008 Oct 21."
rcsb_entity_host_organism.scientific_name,string,in exact_match contains_phrase contains_words exists,The scientific name of the host organism
rcsb_entity_host_organism.taxonomy_lineage.depth,integer,equals greater less greater_or_equal less_or_equal range exists,Members of the NCBI Taxonomy lineage as parent taxonomy lineage depth (1-N)
rcsb_entity_host_organism.taxonomy_lineage.id,string,in exact_match exists,Members of the NCBI Taxonomy lineage as parent taxonomy idcodes.
rcsb_entity_host_organism.taxonomy_lineage.name,string,in exact_match contains_phrase contains_words exists,Members of the NCBI Taxonomy lineage as parent taxonomy names.
rcsb_entity_source_organism.common_name,string,in exact_match contains_phrase contains_words exists,The common name for the source organism assigned by the PDB depositor.
rcsb_entity_source_organism.ncbi_common_names,string,in exact_match contains_phrase contains_words exists,"Common names associated with this taxonomy code aggregated by the NCBI Taxonomy Database.  These name correspond to the taxonomy identifier assigned by the PDB depositor. References: Sayers EW, Barrett T, Benson DA, Bryant SH, Canese K, Chetvernin V, Church DM, DiCuccio M, Edgar R, Federhen S, Feolo M, Geer LY, Helmberg W, Kapustin Y, Landsman D, Lipman DJ, Madden TL, Maglott DR, Miller V, Mizrachi I, Ostell J, Pruitt KD, Schuler GD, Sequeira E, Sherry ST, Shumway M, Sirotkin K, Souvorov A, Starchenko G, Tatusova TA, Wagner L, Yaschenko E, Ye J (2009). Database resources of the National Center for Biotechnology Information. Nucleic Acids Res. 2009 Jan;37(Database issue):D5-15. Epub 2008 Oct 21. Benson DA, Karsch-Mizrachi I, Lipman DJ, Ostell J, Sayers EW (2009). GenBank. Nucleic Acids Res. 2009 Jan;37(Database issue):D26-31. Epub 2008 Oct 21."
rcsb_entity_source_organism.ncbi_parent_scientific_name,string,in exact_match contains_phrase contains_words exists,"A parent scientific name in the NCBI taxonomy hierarchy of the source organism assigned by the PDB depositor.  For cellular organism this corresponds to a superkingdom (e.g., Archaea, Bacteria, Eukaryota). For viruses this  corresponds to a clade (e.g. Adnaviria, Bicaudaviridae, Clavaviridae). For other and unclassified entries this  corresponds to the first level of any taxonomic rank below the root level. References: Sayers EW, Barrett T, Benson DA, Bryant SH, Canese K, Chetvernin V, Church DM, DiCuccio M, Edgar R, Federhen S, Feolo M, Geer LY, Helmberg W, Kapustin Y, Landsman D, Lipman DJ, Madden TL, Maglott DR, Miller V, Mizrachi I, Ostell J, Pruitt KD, Schuler GD, Sequeira E, Sherry ST, Shumway M, Sirotkin K, Souvorov A, Starchenko G, Tatusova TA, Wagner L, Yaschenko E, Ye J (2009). Database resources of the National Center for Biotechnology Information. Nucleic Acids Res. 2009 Jan;37(Database issue):D5-15. Epub 2008 Oct 21. Benson DA, Karsch-Mizrachi I, Lipman DJ, Ostell J, Sayers EW (2009). GenBank. Nucleic Acids Res. 2009 Jan;37(Database issue):D26-31. Epub 2008 Oct 21."
rcsb_entity_source_organism.ncbi_scientific_name,string,in exact_match contains_phrase contains_words exists,"The scientific name associated with this taxonomy code aggregated by the NCBI Taxonomy Database.  This name corresponds to the taxonomy identifier assigned by the PDB depositor. References: Sayers EW, Barrett T, Benson DA, Bryant SH, Canese K, Chetvernin V, Church DM, DiCuccio M, Edgar R, Federhen S, Feolo M, Geer LY, Helmberg W, Kapustin Y, Landsman D, Lipman DJ, Madden TL, Maglott DR, Miller V, Mizrachi I, Ostell J, Pruitt KD, Schuler GD, Sequeira E, Sherry ST, Shumway M, Sirotkin K, Souvorov A, Starchenko G, Tatusova TA, Wagner L, Yaschenko E, Ye J (2009). Database resources of the National Center for Biotechnology Information. Nucleic Acids Res. 2009 Jan;37(Database issue):D5-15. Epub 2008 Oct 21. Benson DA, Karsch-Mizrachi I, Lipman DJ, Ostell J, Sayers EW (2009). GenBank. Nucleic Acids Res. 2009 Jan;37(Database issue):D26-31. Epub 2008 Oct 21."
rcsb_entity_source_organism.scientific_name,string,in exact_match exists,The scientific name of the source organism assigned by the PDB depositor.
rcsb_entity_source_organism.source_type,string,in exact_match exists,"The source type for the entity Allowed Values: genetically engineered, natural, synthetic"
rcsb_entity_source_organism.taxonomy_lineage.depth,integer,equals greater less greater_or_equal less_or_equal range exists,Members of the NCBI Taxonomy lineage as parent taxonomy lineage depth (1-N)
rcsb_entity_source_organism.taxonomy_lineage.id,string,in exact_match exists,Members of the NCBI Taxonomy lineage as parent taxonomy idcodes.
rcsb_entity_source_organism.taxonomy_lineage.name,string,in exact_match contains_phrase contains_words exists,Memebers of the NCBI Taxonomy lineage as parent taxonomy names.
rcsb_entity_source_organism.rcsb_gene_name.value,string,in exact_match exists,Gene name.
rcsb_polymer_entity.formula_weight,number,equals greater less greater_or_equal less_or_equal range exists,Formula mass (KDa) of the entity.
rcsb_polymer_entity.pdbx_description,string,in exact_match contains_phrase contains_words exists,A description of the polymer entity.
rcsb_polymer_entity.pdbx_number_of_molecules,integer,equals greater less greater_or_equal less_or_equal range exists,The number of molecules of the entity in the entry.
rcsb_polymer_entity.rcsb_source_part_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of biological sources for the polymer entity. Multiple source contributions  may come from the same organism (taxonomy).
rcsb_polymer_entity.rcsb_source_taxonomy_count,integer,equals greater less greater_or_equal less_or_equal range exists,The number of distinct source taxonomies for the polymer entity. Commonly used to identify chimeric polymers.
rcsb_polymer_entity.rcsb_ec_lineage.depth,integer,equals greater less greater_or_equal less_or_equal range exists,Members of the enzyme classification lineage as parent classification hierarchy depth (1-N).
rcsb_polymer_entity.rcsb_ec_lineage.id,string,in exact_match exists,Members of the enzyme classification lineage as parent classification codes.
rcsb_polymer_entity.rcsb_ec_lineage.name,string,in exact_match exists,Members of the enzyme classification lineage as parent classification names.
rcsb_polymer_entity.rcsb_macromolecular_names_combined.name,string,contains_phrase contains_words exists,Combined list of macromolecular names.
rcsb_polymer_entity.rcsb_enzyme_class_combined.depth,integer,equals greater less greater_or_equal less_or_equal range exists,The enzyme classification hierarchy depth (1-N).
rcsb_polymer_entity.rcsb_enzyme_class_combined.ec,string,in exact_match contains_phrase contains_words exists,Combined list of enzyme class assignments.
rcsb_polymer_entity.rcsb_enzyme_class_combined.provenance_source,string,in exact_match exists,"Combined list of enzyme class associated provenance sources. Allowed Values: PDB Primary Data, UniProt"
rcsb_polymer_entity.rcsb_polymer_name_combined.names,string,in exact_match exists,Protein name annotated by the UniProtKB or macromolecular name assigned by the PDB
rcsb_polymer_entity_annotation.annotation_id,string,in exact_match exists,An identifier for the annotation.
rcsb_polymer_entity_annotation.description,string,in exact_match contains_phrase contains_words exists,A description for the annotation.
rcsb_polymer_entity_annotation.name,string,in exact_match contains_phrase contains_words exists,A name for the annotation.
rcsb_polymer_entity_annotation.type,string,in exact_match exists,"A type or category of the annotation. Allowed Values: CARD, GO, GlyCosmos, GlyGen, InterPro, MemProtMD, OPM, PDBTM, Pfam, mpstruc"
rcsb_polymer_entity_annotation.annotation_lineage.depth,integer,equals greater less greater_or_equal less_or_equal range exists,Members of the annotation lineage as parent lineage depth (1-N)
rcsb_polymer_entity_annotation.annotation_lineage.id,string,in exact_match exists,Members of the annotation lineage as parent class identifiers.
